Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,EQI Quintile,National,176414,1518958027,11.3728,0.0273,11.3198,11.426,11.37 ± 0.03
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,EQI Quintile,Q1 (best),6518,54149786,11.7412,0.1472,11.4579,12.0298,11.74 ± 0.15
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,EQI Quintile,Q2,13298,96778284,13.3437,0.1179,13.1179,13.5725,13.34 ± 0.12
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,EQI Quintile,Q3,24430,180414358,13.272,0.086,13.1061,13.4395,13.27 ± 0.09
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,EQI Quintile,Q4,32605,260777432,12.3039,0.0689,12.1707,12.4382,12.30 ± 0.07
2006-2010,X60_X84_Y87.0,X60_X84_Y87.0,Suicide,EQI Quintile,Q5 (worst),99563,926838167,10.5176,0.0335,10.4524,10.5832,10.52 ± 0.03
2006-2010,X70_X84,X70_X84,VS,EQI Quintile,National,144362,1518958027,9.3202,0.0247,9.2722,9.3684,9.32 ± 0.02
2006-2010,X70_X84,X70_X84,VS,EQI Quintile,Q1 (best),5813,54149786,10.4589,0.1388,10.1917,10.7313,10.46 ± 0.14
2006-2010,X70_X84,X70_X84,VS,EQI Quintile,Q2,11337,96778284,11.3604,0.1087,11.1522,11.5715,11.36 ± 0.11
2006-2010,X70_X84,X70_X84,VS,EQI Quintile,Q3,20449,180414358,11.0961,0.0786,10.9445,11.2492,11.10 ± 0.08
2006-2010,X70_X84,X70_X84,VS,EQI Quintile,Q4,27239,260777432,10.2669,0.0629,10.1453,10.3896,10.27 ± 0.06
2006-2010,X70_X84,X70_X84,VS,EQI Quintile,Q5 (worst),79524,926838167,8.4263,0.0301,8.3678,8.4851,8.43 ± 0.03
2006-2010,Y87.0,Y87.0,SI,EQI Quintile,National,361,1518958027,0.0232,0.0012,0.0209,0.0258,0.02 ± 0.00
2006-2010,Y87.0,Y87.0,SI,EQI Quintile,Q1 (best),4,54149786,0.0069,0.0035,0.0019,0.0176,0.01 ± 0.00
2006-2010,Y87.0,Y87.0,SI,EQI Quintile,Q2,27,96778284,0.0261,0.0051,0.0172,0.038,0.03 ± 0.01
2006-2010,Y87.0,Y87.0,SI,EQI Quintile,Q3,44,180414358,0.0237,0.0036,0.0172,0.0318,0.02 ± 0.00
2006-2010,Y87.0,Y87.0,SI,EQI Quintile,Q4,58,260777432,0.0215,0.0028,0.0163,0.0277,0.02 ± 0.00
2006-2010,Y87.0,Y87.0,SI,EQI Quintile,Q5 (worst),228,926838167,0.0241,0.0016,0.0211,0.0275,0.02 ± 0.00
2011-2015,C00_C97,All-site Cancer,Cancer,EQI Quintile,National,2926386,1581578220,163.2351,0.0966,163.0481,163.4222,163.24 ± 0.10
