Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
Lung cancer,"9,893 (0.68‰)",60.72 ± 0.61,"9,536 (0.64‰)",54.08 ± 0.56,"8,603 (0.58‰)",44.90 ± 0.49,"6,300 (0.54‰)",48.00 ± 0.64
COPD,"9,120 (0.62‰)",58.16 ± 0.61,"10,440 (0.70‰)",61.39 ± 0.61,"11,209 (0.76‰)",60.09 ± 0.57,"8,661 (0.75‰)",64.01 ± 0.72
ILD,775 (0.05‰),5.02 ± 0.18,816 (0.05‰),4.90 ± 0.17,994 (0.07‰),5.47 ± 0.18,799 (0.07‰),5.88 ± 0.22
Pneumoconiosis,417 (0.03‰),2.67 ± 0.13,395 (0.03‰),2.32 ± 0.12,320 (0.02‰),1.67 ± 0.09,330 (0.03‰),2.32 ± 0.13
Asthma,138 (0.01‰),0.93 ± 0.08,145 (0.01‰),0.91 ± 0.08,99 (0.01‰),0.60 ± 0.06,119 (0.01‰),1.04 ± 0.10
County Economic Typology (Manufacturing),,,,,,,,
CRD,"378,940 (1.29‰)",115.00 ± 0.19,"403,392 (1.35‰)",110.69 ± 0.18,"405,546 (1.33‰)",100.30 ± 0.16,"309,399 (1.26‰)",103.76 ± 0.19
Lung cancer,"184,492 (0.63‰)",55.59 ± 0.13,"184,088 (0.61‰)",50.01 ± 0.12,"171,321 (0.56‰)",41.86 ± 0.10,"127,934 (0.52‰)",43.77 ± 0.13
COPD,"150,535 (0.51‰)",45.97 ± 0.12,"171,584 (0.57‰)",47.36 ± 0.12,"184,773 (0.61‰)",45.82 ± 0.11,"140,788 (0.58‰)",46.38 ± 0.13
ILD,"18,054 (0.06‰)",5.54 ± 0.04,"20,260 (0.07‰)",5.66 ± 0.04,"22,356 (0.07‰)",5.65 ± 0.04,"19,583 (0.08‰)",6.38 ± 0.05
Asthma,"3,079 (0.01‰)",0.97 ± 0.02,"3,093 (0.01‰)",0.92 ± 0.02,"3,099 (0.01‰)",0.88 ± 0.02,"2,472 (0.01‰)",0.97 ± 0.02
Pneumoconiosis,941 (0.00‰),0.29 ± 0.01,817 (0.00‰),0.23 ± 0.01,704 (0.00‰),0.18 ± 0.01,422 (0.00‰),0.14 ± 0.01
County Economic Typology (Government),,,,,,,,
CRD,"178,094 (1.01‰)",105.53 ± 0.25,"187,559 (1.01‰)",97.58 ± 0.23,"189,765 (0.99‰)",86.41 ± 0.20,"146,054 (0.93‰)",87.25 ± 0.24
Lung cancer,"85,560 (0.48‰)",49.74 ± 0.17,"85,574 (0.46‰)",43.71 ± 0.15,"78,709 (0.41‰)",35.19 ± 0.13,"59,102 (0.38‰)",35.87 ± 0.15
COPD,"69,788 (0.39‰)",42.08 ± 0.16,"76,936 (0.41‰)",40.59 ± 0.15,"83,662 (0.44‰)",38.36 ± 0.13,"63,750 (0.41‰)",37.51 ± 0.15
ILD,"9,474 (0.05‰)",5.71 ± 0.06,"10,569 (0.06‰)",5.61 ± 0.06,"12,064 (0.06‰)",5.64 ± 0.05,"10,755 (0.07‰)",6.30 ± 0.06
Asthma,"1,771 (0.01‰)",1.03 ± 0.02,"1,841 (0.01‰)",0.97 ± 0.02,"1,968 (0.01‰)",0.95 ± 0.02,"1,653 (0.01‰)",1.08 ± 0.03
Pneumoconiosis,435 (0.00‰),0.27 ± 0.01,422 (0.00‰),0.23 ± 0.01,370 (0.00‰),0.17 ± 0.01,190 (0.00‰),0.11 ± 0.01
County Economic Typology (Services),,,,,,,,
CRD,"635,450 (0.98‰)",92.00 ± 0.12,"653,454 (0.96‰)",84.12 ± 0.11,"640,623 (0.91‰)",72.66 ± 0.09,"472,054 (0.84‰)",70.46 ± 0.11
Lung cancer,"313,775 (0.48‰)",45.42 ± 0.08,"303,552 (0.45‰)",39.04 ± 0.07,"272,173 (0.39‰)",30.76 ± 0.06,"197,871 (0.35‰)",30.16 ± 0.07
COPD,"243,459 (0.37‰)",35.32 ± 0.07,"262,990 (0.39‰)",33.90 ± 0.07,"274,720 (0.39‰)",31.12 ± 0.06,"194,786 (0.35‰)",28.48 ± 0.07
ILD,"33,556 (0.05‰)",4.88 ± 0.03,"38,296 (0.06‰)",4.99 ± 0.03,"43,293 (0.06‰)",4.98 ± 0.02,"38,519 (0.07‰)",5.63 ± 0.03
Asthma,"6,849 (0.01‰)",1.00 ± 0.01,"7,055 (0.01‰)",0.95 ± 0.01,"7,316 (0.01‰)",0.92 ± 0.01,"5,461 (0.01‰)",0.95 ± 0.01
Pneumoconiosis,"1,312 (0.00‰)",0.19 ± 0.01,"1,099 (0.00‰)",0.14 ± 0.00,929 (0.00‰),0.11 ± 0.00,531 (0.00‰),0.08 ± 0.00
County Economic Typology (Nonspecialized),,,,,,,,
CRD,"390,875 (1.08‰)",108.38 ± 0.17,"413,500 (1.09‰)",101.15 ± 0.16,"416,359 (1.05‰)",89.59 ± 0.14,"316,252 (0.97‰)",88.98 ± 0.16
Lung cancer,"186,406 (0.52‰)",50.92 ± 0.12,"185,402 (0.49‰)",44.56 ± 0.10,"171,044 (0.43‰)",36.07 ± 0.09,"127,708 (0.39‰)",36.33 ± 0.11
COPD,"158,690 (0.44‰)",44.61 ± 0.11,"177,154 (0.47‰)",43.89 ± 0.11,"190,405 (0.48‰)",41.34 ± 0.10,"142,571 (0.44‰)",39.65 ± 0.11
ILD,"19,304 (0.05‰)",5.42 ± 0.04,"21,831 (0.06‰)",5.44 ± 0.04,"24,961 (0.06‰)",5.51 ± 0.04,"21,715 (0.07‰)",6.01 ± 0.04
Asthma,"3,692 (0.01‰)",1.02 ± 0.02,"3,626 (0.01‰)",0.90 ± 0.02,"3,696 (0.01‰)",0.86 ± 0.01,"2,966 (0.01‰)",0.93 ± 0.02
Pneumoconiosis,"1,205 (0.00‰)",0.34 ± 0.01,943 (0.00‰),0.24 ± 0.01,843 (0.00‰),0.19 ± 0.01,527 (0.00‰),0.14 ± 0.01
EQI Quintile (Q1 (best)),,,,,,,,
CRD,"66,167 (1.22‰)",107.93 ± 0.42,"70,493 (1.27‰)",102.83 ± 0.39,"73,014 (1.30‰)",95.44 ± 0.36,"56,565 (1.28‰)",102.67 ± 0.45
Lung cancer,"32,386 (0.60‰)",51.82 ± 0.29,"32,123 (0.58‰)",46.12 ± 0.26,"29,973 (0.53‰)",38.80 ± 0.23,"22,523 (0.51‰)",41.94 ± 0.30
COPD,"26,441 (0.49‰)",43.71 ± 0.27,"30,433 (0.55‰)",44.73 ± 0.26,"34,788 (0.62‰)",45.51 ± 0.25,"27,268 (0.62‰)",48.51 ± 0.31
ILD,"2,918 (0.05‰)",4.86 ± 0.09,"3,338 (0.06‰)",4.98 ± 0.09,"3,792 (0.07‰)",5.05 ± 0.08,"3,252 (0.07‰)",5.73 ± 0.10
Asthma,581 (0.01‰),0.99 ± 0.04,592 (0.01‰),0.95 ± 0.04,590 (0.01‰),0.89 ± 0.04,463 (0.01‰),1.00 ± 0.05
Pneumoconiosis,324 (0.01‰),0.54 ± 0.03,308 (0.01‰),0.45 ± 0.03,253 (0.00‰),0.33 ± 0.02,201 (0.00‰),0.35 ± 0.03
EQI Quintile (Q2),,,,,,,,
CRD,"138,732 (1.43‰)",116.49 ± 0.31,"147,753 (1.48‰)",111.91 ± 0.29,"151,218 (1.48‰)",102.03 ± 0.27,"117,526 (1.41‰)",108.17 ± 0.34
Lung cancer,"67,892 (0.70‰)",56.49 ± 0.22,"67,249 (0.68‰)",50.60 ± 0.20,"62,566 (0.61‰)",42.04 ± 0.17,"47,296 (0.57‰)",44.85 ± 0.22
COPD,"56,500 (0.58‰)",47.59 ± 0.20,"64,960 (0.65‰)",49.20 ± 0.19,"72,004 (0.70‰)",48.37 ± 0.18,"56,510 (0.68‰)",50.80 ± 0.23
ILD,"5,815 (0.06‰)",4.97 ± 0.07,"6,385 (0.06‰)",4.92 ± 0.06,"7,285 (0.07‰)",4.98 ± 0.06,"6,502 (0.08‰)",5.73 ± 0.07
Asthma,"1,001 (0.01‰)",0.92 ± 0.03,"1,018 (0.01‰)",0.89 ± 0.03,"1,091 (0.01‰)",0.90 ± 0.03,844 (0.01‰),0.97 ± 0.04
Pneumoconiosis,646 (0.01‰),0.55 ± 0.02,550 (0.01‰),0.42 ± 0.02,540 (0.01‰),0.36 ± 0.02,416 (0.00‰),0.35 ± 0.02
EQI Quintile (Q3),,,,,,,,
CRD,"229,961 (1.27‰)",112.27 ± 0.23,"243,398 (1.30‰)",106.52 ± 0.22,"247,054 (1.28‰)",95.84 ± 0.20,"188,222 (1.20‰)",97.36 ± 0.24
Lung cancer,"111,415 (0.62‰)",53.95 ± 0.16,"110,933 (0.59‰)",48.13 ± 0.15,"102,773 (0.53‰)",39.51 ± 0.12,"76,489 (0.49‰)",40.61 ± 0.16
COPD,"93,310 (0.52‰)",45.79 ± 0.15,"105,457 (0.56‰)",46.30 ± 0.14,"115,088 (0.60‰)",44.62 ± 0.13,"87,212 (0.55‰)",44.11 ± 0.16
ILD,"10,667 (0.06‰)",5.28 ± 0.05,"11,758 (0.06‰)",5.24 ± 0.05,"13,390 (0.07‰)",5.30 ± 0.05,"11,654 (0.07‰)",5.82 ± 0.06
Asthma,"2,170 (0.01‰)",1.11 ± 0.02,"2,076 (0.01‰)",1.00 ± 0.02,"2,170 (0.01‰)",0.99 ± 0.02,"1,674 (0.01‰)",1.03 ± 0.03
Pneumoconiosis,672 (0.00‰),0.33 ± 0.01,593 (0.00‰),0.27 ± 0.01,495 (0.00‰),0.19 ± 0.01,319 (0.00‰),0.16 ± 0.01
EQI Quintile (Q4),,,,,,,,
CRD,"311,508 (1.19‰)",108.88 ± 0.20,"329,473 (1.22‰)",103.76 ± 0.18,"330,396 (1.18‰)",93.03 ± 0.16,"251,326 (1.10‰)",94.36 ± 0.20
Lung cancer,"150,370 (0.58‰)",52.34 ± 0.14,"149,791 (0.55‰)",46.86 ± 0.12,"137,068 (0.49‰)",38.19 ± 0.10,"101,933 (0.45‰)",39.15 ± 0.13
COPD,"124,595 (0.48‰)",43.71 ± 0.12,"139,629 (0.52‰)",44.15 ± 0.12,"150,672 (0.54‰)",42.48 ± 0.11,"113,414 (0.50‰)",41.74 ± 0.13
ILD,"15,135 (0.06‰)",5.34 ± 0.04,"17,138 (0.06‰)",5.47 ± 0.04,"19,231 (0.07‰)",5.53 ± 0.04,"17,003 (0.07‰)",6.19 ± 0.05
Asthma,"3,048 (0.01‰)",1.10 ± 0.02,"2,938 (0.01‰)",0.99 ± 0.02,"3,082 (0.01‰)",0.98 ± 0.02,"2,474 (0.01‰)",1.08 ± 0.02
Pneumoconiosis,998 (0.00‰),0.35 ± 0.01,805 (0.00‰),0.26 ± 0.01,646 (0.00‰),0.19 ± 0.01,366 (0.00‰),0.13 ± 0.01
EQI Quintile (Q5 (worst)),,,,,,,,
CRD,"884,635 (0.95‰)",96.45 ± 0.10,"916,365 (0.95‰)",88.42 ± 0.09,"899,749 (0.90‰)",76.53 ± 0.08,"667,198 (0.83‰)",74.44 ± 0.09
Lung cancer,"429,791 (0.46‰)",46.58 ± 0.07,"419,346 (0.43‰)",40.13 ± 0.06,"379,837 (0.38‰)",31.93 ± 0.05,"278,158 (0.35‰)",31.45 ± 0.06
COPD,"342,425 (0.37‰)",37.68 ± 0.06,"371,175 (0.38‰)",36.13 ± 0.06,"385,524 (0.38‰)",32.97 ± 0.05,"276,053 (0.34‰)",30.37 ± 0.06
ILD,"47,842 (0.05‰)",5.25 ± 0.02,"54,555 (0.06‰)",5.34 ± 0.02,"61,381 (0.06‰)",5.33 ± 0.02,"54,214 (0.07‰)",5.96 ± 0.03
Asthma,"9,005 (0.01‰)",0.96 ± 0.01,"9,383 (0.01‰)",0.91 ± 0.01,"9,473 (0.01‰)",0.86 ± 0.01,"7,394 (0.01‰)",0.92 ± 0.01
Pneumoconiosis,"1,706 (0.00‰)",0.19 ± 0.00,"1,459 (0.00‰)",0.15 ± 0.00,"1,269 (0.00‰)",0.11 ± 0.00,711 (0.00‰),0.08 ± 0.00
