COUNTY_FIPS,RUCC,EQI_Air,EQI_Water,EQI_Land,EQI_Built,EQI_Social,Cluster
12077,4,-0.6356,-1.5508,-2.752,-1.8574,-1.1686,0
12079,3,-0.3121,-1.5494,-1.5934,-0.5914,-1.0171,0
12081,1,0.7933,-1.5554,-1.9627,0.2537,0.2955,1
12083,1,0.7045,-1.5973,-1.3324,0.3387,-0.2227,1
12085,1,0.416,-1.5671,-1.4218,1.2201,0.8401,1
12086,1,1.0847,-1.5647,-4.9071,0.674,-1.2576,0
12087,2,-0.2146,-1.5655,-0.5775,-1.0428,0.3758,0
12089,1,0.5919,-1.5526,-1.8884,-1.6382,0.9004,0
12091,1,0.3639,-1.5647,-1.8217,0.1942,0.7303,1
12093,2,-0.2593,-1.551,-2.3434,0.4887,-0.7337,0
12095,1,1.1727,-1.6413,-1.5507,1.1943,0.3714,1
12097,1,0.8832,-1.5664,-2.1915,0.9125,0.0964,1
12099,1,0.8401,-1.5726,-0.4444,0.7811,0.5325,1
12101,1,0.7201,-1.6007,-2.1602,0.4612,-0.0281,1
12103,1,1.1053,-1.6051,-1.9009,0.7778,0.277,1
12105,1,0.8202,-1.5769,-1.3071,0.5723,-0.2217,1
12107,2,0.6929,-1.5487,-1.2838,0.403,-0.884,1
12109,1,0.6622,-1.5725,-1.3484,0.14,1.3312,1
12111,1,0.4715,-1.5669,-1.3815,0.7041,0.0292,1
12113,1,0.615,-1.5621,-1.8814,-0.1518,1.0203,1
12115,1,0.7135,-1.5795,-1.6596,0.9562,0.7664,1
12117,1,0.9974,-1.608,-2.0268,0.8945,1.4005,1
12119,2,0.1664,-1.5588,-1.5137,-0.4231,-0.0191,0
12121,3,-0.3176,-1.5468,-2.0805,0.011,-0.4158,1
12123,3,-0.4234,-1.5505,-2.4961,-0.1539,-0.9746,0
12125,3,-0.2366,-1.5433,-1.9703,-1.421,-0.2129,0
12127,1,0.7677,-1.5884,-1.337,0.5876,0.1404,1
12129,1,-0.3367,-1.5501,-2.2301,-0.2898,0.3975,0
12131,3,-0.274,-1.5653,-1.8717,0.5437,-0.0827,1
12133,3,-0.3156,-1.5535,-1.4361,0.2043,-0.7745,1
13001,3,-0.2932,0.115,-1.6837,0.4453,-0.6979,0
13003,4,-0.5936,-0.3289,-1.9192,-2.2412,-1.393,0
13005,3,-0.5888,-0.2929,-1.8319,-0.3976,-0.898,0
13007,1,-0.4784,-0.3386,-1.1208,-3.047,-1.0755,0
13009,2,0.7291,-0.2806,-0.4309,0.8316,-0.3112,1
13011,4,0.117,-0.2649,0.1479,-0.9387,0.0637,2
13013,1,0.8396,1.2158,-0.1515,-0.3372,0.7154,2
13015,1,1.0752,-0.2768,0.1686,0.404,0.5549,1
13017,3,0.1472,0.1038,-1.021,0.2882,-0.9462,0
13019,3,-0.2128,0.0888,-1.904,0.2535,-0.564,0
13021,1,1.139,0.1101,-0.0956,1.2262,-0.2786,2
13023,3,-0.2809,-0.3291,-0.8892,-0.7598,-0.245,0
13025,1,-0.5538,-0.2295,-1.6505,-1.8019,-0.4863,0
13027,1,-0.1647,-0.2988,-1.592,-1.2388,-0.5519,0
13029,1,0.2259,1.2103,-1.4328,-0.6296,1.1422,0
13031,2,0.3639,1.2233,-1.621,0.5926,-0.6629,0
13033,1,-0.0113,0.799,-0.8652,-0.8608,-1.3659,0
13035,1,0.5401,-0.281,-0.3591,-0.4211,0.2418,0
