Model,ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
EQI_Land,C25,Pancreatic Cancer,2000_2005,5,0.0,"0.12(-0.30,0.56)","0.19(-0.24,0.64)","0.07(-0.42,0.55)","-0.01(-0.52,0.48)"
EQI_Land,C25,Pancreatic Cancer,2000_2005,10,0.0,"-0.05(-0.45,0.35)","-0.12(-0.55,0.30)","-0.08(-0.56,0.38)","0.33(-0.18,0.81)"
EQI_Land,C25,Pancreatic Cancer,2000_2005,15,0.0,"-0.05(-0.46,0.38)","-0.06(-0.51,0.39)","0.18(-0.32,0.70)","0.55(0.01,1.08)*"
EQI_Land,C61,Prostate Cancer,2000_2005,5,0.0,"-0.27(-0.70,0.16)","0.02(-0.43,0.49)","-0.05(-0.56,0.47)","0.08(-0.48,0.62)"
EQI_Land,C61,Prostate Cancer,2000_2005,10,0.0,"-0.14(-0.50,0.24)","-0.34(-0.73,0.05)","-0.03(-0.46,0.40)","0.20(-0.25,0.68)"
EQI_Land,C61,Prostate Cancer,2000_2005,15,0.0,"0.19(-0.16,0.54)","0.40(0.02,0.77)*","0.57(0.15,0.98)**","0.72(0.29,1.16)**"
EQI_Land,C00_C97,All-site Cancer,2006_2010,5,0.0,"3.45(1.38,5.49)***","4.67(2.54,6.72)***","4.14(1.94,6.32)***","4.60(2.29,6.89)***"
EQI_Land,C00_C97,All-site Cancer,2006_2010,10,0.0,"2.20(0.32,4.06)*","4.51(2.54,6.46)***","4.47(2.38,6.46)***","6.31(4.15,8.44)***"
EQI_Land,C34,Lung Cancer,2006_2010,5,0.0,"2.31(1.16,3.49)***","2.91(1.74,4.08)***","3.15(1.92,4.34)***","3.04(1.77,4.31)***"
EQI_Land,C34,Lung Cancer,2006_2010,10,0.0,"1.79(0.85,2.74)***","2.68(1.66,3.66)***","2.61(1.59,3.64)***","3.33(2.25,4.39)***"
EQI_Land,C18_C21,Colorectal Cancer,2006_2010,5,0.0,"0.88(0.36,1.42)**","1.30(0.76,1.84)***","1.70(1.15,2.27)***","2.18(1.60,2.77)***"
EQI_Land,C18_C21,Colorectal Cancer,2006_2010,10,0.0,"0.60(0.09,1.13)*","1.22(0.68,1.78)***","1.37(0.80,1.94)***","2.19(1.61,2.78)***"
EQI_Land,C50,Breast Cancer,2006_2010,5,0.0,"0.68(0.25,1.11)**","0.72(0.28,1.17)***","0.90(0.44,1.38)***","1.65(1.16,2.17)***"
EQI_Land,C50,Breast Cancer,2006_2010,10,0.0,"0.64(0.22,1.04)**","0.73(0.31,1.15)**","0.97(0.53,1.42)***","1.40(0.94,1.85)***"
