Model,ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
EQI_Social,C50,Breast Cancer,2006_2010,5,0.0,"-0.38(-0.87,0.11)","0.03(-0.52,0.59)","-0.44(-1.06,0.18)","-0.98(-1.63,-0.32)**"
EQI_Social,C50,Breast Cancer,2006_2010,10,0.0,"-0.01(-0.53,0.47)","-0.20(-0.74,0.37)","0.08(-0.55,0.70)","-0.21(-0.90,0.45)"
EQI_Social,C61,Prostate Cancer,2006_2010,5,0.0,"0.25(-0.20,0.68)","0.64(0.15,1.14)**","1.17(0.61,1.72)***","0.16(-0.40,0.73)"
EQI_Social,C61,Prostate Cancer,2006_2010,10,0.0,"0.46(0.02,0.89)*","0.74(0.25,1.23)**","1.21(0.68,1.74)***","1.20(0.62,1.82)***"
EQI_Social,C15_C26,Digestive System Cancer,2006_2010,5,0.0,"-1.43(-2.24,-0.60)***","-1.37(-2.34,-0.46)**","-0.64(-1.74,0.45)","-1.22(-2.45,-0.03)*"
EQI_Social,C15_C26,Digestive System Cancer,2006_2010,10,0.0,"-0.37(-1.14,0.46)","1.01(0.05,1.91)*","1.44(0.41,2.50)**","2.25(1.09,3.41)***"
RUCC1_EQI,C00_C97,All-site Cancer,2000_2005,5,0.0,"4.54(0.44,8.50)*","5.60(1.95,9.38)**","8.51(4.82,12.24)***","14.05(10.52,17.39)***"
RUCC1_EQI,C00_C97,All-site Cancer,2000_2005,10,0.0,"3.98(0.30,7.53)*","5.72(2.56,8.99)***","8.63(5.50,11.70)***","12.21(9.35,15.32)***"
RUCC1_EQI,C34,Lung Cancer,2000_2005,5,0.0,"2.06(-0.45,4.46)","1.35(-0.92,3.53)","2.10(-0.20,4.25)","3.93(1.59,6.11)**"
RUCC1_EQI,C34,Lung Cancer,2000_2005,10,0.0,"-0.15(-2.30,2.04)","-0.19(-2.28,1.89)","0.45(-1.62,2.46)","0.89(-1.19,3.03)"
