Outcome,5 Deaths,5 AAMR,10 Deaths,10 AAMR,15 Deaths,15 AAMR
All-site Cancer,"668,606 (1.67‰)",174.64 ± 0.22,"705,584 (1.68‰)",161.46 ± 0.19,"734,656 (1.69‰)",148.37 ± 0.18
Lung Cancer,"184,138 (0.46‰)",48.13 ± 0.11,"181,739 (0.43‰)",41.42 ± 0.10,"167,826 (0.38‰)",33.44 ± 0.08
Colorectal Cancer,"63,082 (0.16‰)",16.50 ± 0.07,"64,840 (0.15‰)",14.83 ± 0.06,"67,338 (0.15‰)",13.68 ± 0.05
Breast Cancer,"49,672 (0.12‰)",12.72 ± 0.06,"51,693 (0.12‰)",11.73 ± 0.05,"54,555 (0.13‰)",11.15 ± 0.05
Pancreatic Cancer,"40,825 (0.10‰)",10.68 ± 0.05,"46,847 (0.11‰)",10.69 ± 0.05,"53,658 (0.12‰)",10.74 ± 0.05
Prostate Cancer,"35,073 (0.09‰)",9.59 ± 0.05,"35,307 (0.08‰)",8.37 ± 0.04,"40,384 (0.09‰)",8.32 ± 0.04
DOE Climate Zone: Mixed,,,,,,
All-site Cancer,"724,351 (1.94‰)",180.22 ± 0.21,"744,427 (1.92‰)",166.63 ± 0.20,"752,863 (1.89‰)",151.35 ± 0.18
Lung Cancer,"209,274 (0.56‰)",52.04 ± 0.11,"204,782 (0.53‰)",45.57 ± 0.10,"184,971 (0.46‰)",36.58 ± 0.09
Colorectal Cancer,"68,132 (0.18‰)",16.97 ± 0.07,"65,914 (0.17‰)",14.80 ± 0.06,"66,108 (0.17‰)",13.46 ± 0.05
Breast Cancer,"53,585 (0.14‰)",13.22 ± 0.06,"53,623 (0.14‰)",12.02 ± 0.05,"54,224 (0.14‰)",11.11 ± 0.05
Pancreatic Cancer,"44,726 (0.12‰)",11.10 ± 0.05,"50,064 (0.13‰)",11.14 ± 0.05,"55,751 (0.14‰)",11.09 ± 0.05
Prostate Cancer,"35,407 (0.09‰)",8.96 ± 0.05,"34,240 (0.09‰)",7.77 ± 0.04,"37,647 (0.09‰)",7.58 ± 0.04
DOE Climate Zone: Cool,,,,,,
All-site Cancer,"794,083 (1.96‰)",178.96 ± 0.20,"804,027 (1.95‰)",165.82 ± 0.19,"806,025 (1.92‰)",151.86 ± 0.17
Lung Cancer,"220,319 (0.54‰)",49.92 ± 0.11,"214,185 (0.52‰)",44.13 ± 0.10,"193,730 (0.46‰)",36.01 ± 0.08
Colorectal Cancer,"74,709 (0.18‰)",16.74 ± 0.06,"71,193 (0.17‰)",14.67 ± 0.06,"69,716 (0.17‰)",13.27 ± 0.05
Breast Cancer,"57,883 (0.14‰)",12.95 ± 0.05,"56,608 (0.14‰)",11.70 ± 0.05,"56,408 (0.13‰)",10.86 ± 0.05
Pancreatic Cancer,"49,846 (0.12‰)",11.19 ± 0.05,"54,325 (0.13‰)",11.13 ± 0.05,"61,958 (0.15‰)",11.56 ± 0.05
Prostate Cancer,"39,290 (0.10‰)",8.81 ± 0.04,"37,694 (0.09‰)",7.73 ± 0.04,"41,321 (0.10‰)",7.71 ± 0.04
DOE Climate Zone: Cold,,,,,,
All-site Cancer,"190,765 (1.95‰)",171.58 ± 0.40,"196,978 (1.97‰)",160.69 ± 0.37,"201,539 (1.98‰)",149.34 ± 0.34
Lung Cancer,"51,533 (0.53‰)",46.64 ± 0.21,"51,919 (0.52‰)",42.28 ± 0.19,"48,019 (0.47‰)",34.98 ± 0.16
Colorectal Cancer,"17,504 (0.18‰)",15.62 ± 0.12,"16,909 (0.17‰)",13.81 ± 0.11,"16,725 (0.16‰)",12.63 ± 0.10
Breast Cancer,"12,906 (0.13‰)",11.51 ± 0.10,"12,805 (0.13‰)",10.46 ± 0.09,"12,922 (0.13‰)",9.84 ± 0.09
Pancreatic Cancer,"11,954 (0.12‰)",10.71 ± 0.10,"13,531 (0.14‰)",10.94 ± 0.10,"15,309 (0.15‰)",11.20 ± 0.09
Prostate Cancer,"10,274 (0.10‰)",9.14 ± 0.09,"10,059 (0.10‰)",8.16 ± 0.08,"11,249 (0.11‰)",8.22 ± 0.08
DOE Climate Zone: Very Cold,,,,,,
All-site Cancer,"25,727 (1.94‰)",171.54 ± 1.08,"26,692 (1.95‰)",162.05 ± 1.01,"26,710 (1.93‰)",147.99 ± 0.93
Lung Cancer,"7,000 (0.53‰)",46.57 ± 0.56,"7,283 (0.53‰)",44.04 ± 0.52,"6,539 (0.47‰)",35.40 ± 0.45
Colorectal Cancer,"2,442 (0.18‰)",16.31 ± 0.33,"2,338 (0.17‰)",14.28 ± 0.30,"2,360 (0.17‰)",13.42 ± 0.28
Breast Cancer,"1,645 (0.12‰)",10.90 ± 0.27,"1,576 (0.12‰)",9.59 ± 0.25,"1,507 (0.11‰)",8.56 ± 0.23
Pancreatic Cancer,"1,645 (0.12‰)",10.88 ± 0.27,"1,738 (0.13‰)",10.40 ± 0.25,"1,948 (0.14‰)",10.57 ± 0.24
Prostate Cancer,"1,439 (0.11‰)",9.76 ± 0.26,"1,345 (0.10‰)",8.22 ± 0.23,"1,518 (0.11‰)",8.43 ± 0.22
EQI National,,,,,,
All-site Cancer,"2,825,257 (1.86‰)",176.33 ± 0.11,"2,926,386 (1.85‰)",163.24 ± 0.10,"2,993,823 (1.83‰)",149.15 ± 0.09
Lung Cancer,"791,510 (0.52‰)",49.42 ± 0.06,"779,194 (0.49‰)",43.25 ± 0.05,"712,071 (0.44‰)",34.91 ± 0.04
Colorectal Cancer,"265,107 (0.17‰)",16.54 ± 0.03,"261,620 (0.17‰)",14.61 ± 0.03,"265,454 (0.16‰)",13.37 ± 0.03
Breast Cancer,"205,392 (0.14‰)",12.71 ± 0.03,"207,588 (0.13‰)",11.60 ± 0.03,"212,632 (0.13‰)",10.81 ± 0.02
Pancreatic Cancer,"175,132 (0.12‰)",10.90 ± 0.03,"196,960 (0.12‰)",10.92 ± 0.02,"224,157 (0.14‰)",11.05 ± 0.02
Prostate Cancer,"142,530 (0.09‰)",9.03 ± 0.02,"140,014 (0.09‰)",7.89 ± 0.02,"156,602 (0.10‰)",7.80 ± 0.02
EQI Q1,,,,,,
All-site Cancer,"108,639 (2.01‰)",176.80 ± 0.54,"113,057 (2.03‰)",165.66 ± 0.50,"116,624 (2.07‰)",154.94 ± 0.46
Lung Cancer,"32,246 (0.60‰)",51.60 ± 0.29,"31,982 (0.57‰)",45.92 ± 0.26,"29,885 (0.53‰)",38.68 ± 0.23
