Model	Lag	Q1	Q2	Q3	Q4	Q5
Social	10	0.0	4.47(1.69,7.11)	3.98(0.63,7.18)	3.67(0.05,7.28)	5.94(1.33,10.29)
Social	15	0.0	1.98(-0.78,4.71)	1.13(-2.20,4.38)	2.36(-1.37,5.99)	5.62(0.89,10.12)
RUCC: Thinly populated
EQI	5	0.0	8.70(4.67,12.73)	10.61(5.96,15.20)	10.67(3.95,17.28)	2.44(-6.42,11.41)
EQI	10	0.0	8.47(4.07,12.93)	11.13(6.23,15.98)	10.67(3.78,17.68)	2.40(-6.57,11.66)
EQI	15	0.0	8.63(4.46,12.80)	11.03(6.08,15.92)	9.10(2.05,16.16)	1.61(-7.96,10.69)
Air	5	0.0	4.54(-0.06,8.98)	8.84(3.19,14.44)	4.88(-3.01,13.05)	0.01(-9.57,9.79)
Air	10	0.0	5.53(0.35,10.42)	10.94(4.65,17.01)	4.80(-3.16,12.73)	0.01(-9.64,9.66)
Air	15	0.0	5.25(0.36,10.36)	10.31(3.90,16.38)	3.79(-4.49,11.69)	-0.14(-9.90,9.66)
Water	5	0.0	0.16(-4.34,4.63)	0.14(-4.79,5.06)	4.64(-0.74,10.11)	3.72(-2.00,9.21)
Water	10	0.0	-0.16(-4.92,4.49)	-0.65(-5.78,4.50)	6.20(0.68,11.87)	5.00(-1.05,10.95)
Water	15	0.0	0.35(-4.21,4.86)	0.96(-4.21,6.15)	2.09(-3.35,7.55)	3.83(-1.92,9.81)
Land	5	0.0	2.32(-2.42,7.23)	4.07(-0.97,8.92)	3.49(-1.83,8.62)	3.89(-1.54,9.46)
Land	10	0.0	2.05(-2.75,6.92)	-0.21(-5.09,4.70)	1.48(-3.93,6.81)	5.50(-0.31,11.21)
Land	15	0.0	2.41(-2.59,7.26)	0.23(-4.76,5.31)	1.52(-3.75,6.88)	7.04(1.54,12.90)
Built	5	0.0	2.93(-1.29,6.99)	4.11(-0.68,8.85)	4.63(-1.08,10.47)	0.15(-5.75,6.12)
Built	10	0.0	4.24(-0.22,8.55)	5.91(0.92,10.77)	4.19(-1.57,10.03)	1.73(-4.68,7.98)
Built	15	0.0	3.12(-1.25,7.52)	5.47(0.52,10.50)	3.57(-2.33,9.43)	2.08(-4.10,8.12)
Social	5	0.0	5.19(0.92,9.48)	4.56(0.08,9.10)	7.16(1.99,12.34)	8.53(1.63,15.67)
Social	10	0.0	2.34(-2.14,6.67)	4.36(-0.55,9.26)	9.97(4.67,15.30)	7.95(1.05,14.87)
Social	15	0.0	2.89(-1.46,7.24)	6.82(2.19,11.48)	10.46(5.23,15.67)	6.90(0.58,13.64)
Köppen-Geiger Climate Zone: Dry
EQI	5	0.0	4.28(-0.88,9.44)	8.34(3.12,13.42)	11.68(5.83,17.34)	14.91(8.30,21.39)
EQI	10	0.0	4.99(-0.08,10.04)	9.22(3.66,14.82)	12.92(6.68,18.95)	14.79(7.99,21.31)
EQI	15	0.0	5.75(0.58,10.82)	8.13(2.99,13.32)	10.83(4.97,16.60)	15.13(8.18,21.60)
Air	5	0.0	0.56(-4.64,5.74)	4.65(-1.54,10.69)	6.71(0.59,12.69)	5.30(-2.29,12.86)
Air	10	0.0	1.26(-3.76,6.26)	5.69(-0.34,11.59)	6.46(0.27,12.61)	4.95(-2.82,12.62)
Air	15	0.0	5.66(0.69,10.66)	5.52(-0.21,11.57)	6.77(0.23,12.86)	4.04(-3.46,11.78)
