Model	Lag	Q1	Q2	Q3	Q4	Q5
Social	5	0.0	3.62(-0.12,7.34)	2.50(-0.90,5.79)	2.11(-1.31,5.46)	4.13(0.84,7.37)
Social	10	0.0	4.39(0.78,8.15)	2.37(-0.84,5.72)	1.20(-1.97,4.39)	1.25(-1.81,4.49)
Social	15	0.0	4.85(1.12,8.67)	2.86(-0.63,6.45)	1.61(-1.75,4.89)	2.72(-0.51,5.95)
RUCC: Non-metropolitan urbanized
EQI	5	0.0	0.78(-5.32,6.91)	7.54(2.06,12.95)	6.89(1.59,12.08)	6.80(1.37,12.25)
EQI	10	0.0	0.25(-5.31,6.07)	6.02(0.78,11.14)	5.88(0.92,10.77)	4.15(-1.07,9.56)
EQI	15	0.0	1.19(-4.68,6.83)	2.80(-2.61,7.92)	3.79(-1.38,8.90)	3.81(-1.48,9.19)
Air	5	0.0	1.52(-4.78,7.71)	5.49(-0.26,11.09)	8.07(2.47,13.51)	8.15(2.30,14.16)
Air	10	0.0	2.76(-3.45,8.72)	5.16(-0.18,10.52)	7.49(2.31,12.79)	7.17(1.52,12.93)
Air	15	0.0	1.99(-4.12,8.15)	6.01(0.54,11.69)	6.27(0.88,11.81)	7.51(1.76,13.33)
Water	5	0.0	-1.87(-8.24,4.24)	3.60(-1.82,9.27)	-0.89(-6.20,4.53)	2.80(-2.57,8.08)
Water	10	0.0	-1.26(-7.36,4.70)	0.49(-4.84,5.96)	0.03(-4.92,5.06)	1.61(-3.46,6.84)
Water	15	0.0	-3.89(-9.87,1.97)	-0.78(-6.29,4.63)	0.70(-4.52,5.86)	2.25(-3.04,7.43)
Land	5	0.0	3.08(-1.84,7.79)	3.49(-1.45,8.43)	4.29(-0.77,9.29)	3.04(-2.39,8.39)
Land	10	0.0	1.65(-2.79,6.21)	1.87(-2.75,6.30)	4.24(-0.32,8.83)	0.99(-4.14,6.16)
Land	15	0.0	2.72(-1.89,7.10)	1.95(-2.80,6.85)	5.01(0.44,9.63)	3.53(-1.49,8.61)
Built	5	0.0	1.76(-4.79,8.16)	2.96(-2.77,8.77)	5.46(-0.10,10.94)	7.86(2.31,13.44)
Built	10	0.0	2.01(-4.25,8.34)	3.75(-1.65,9.16)	6.26(1.11,11.57)	7.08(1.71,12.44)
Built	15	0.0	6.80(0.88,12.94)	3.70(-1.57,9.17)	6.01(0.91,11.20)	7.17(1.82,12.46)
Social	5	0.0	-0.11(-4.83,4.87)	-2.26(-7.16,2.62)	-3.02(-8.13,2.04)	0.68(-4.67,6.20)
Social	10	0.0	-2.26(-6.72,2.27)	-2.86(-7.64,1.90)	-4.44(-9.23,0.53)	-0.96(-6.13,4.10)
Social	15	0.0	-0.56(-5.20,4.05)	-5.16(-9.96,-0.49)	-4.86(-9.56,-0.21)	-3.16(-8.33,2.16)
RUCC: Less urbanized
EQI	5	0.0	5.78(2.33,9.32)	4.12(0.48,7.89)	5.83(2.00,9.73)	7.85(2.74,12.76)
EQI	10	0.0	4.81(1.39,8.17)	4.13(0.65,7.63)	6.18(2.53,9.95)	6.80(2.00,11.67)
EQI	15	0.0	4.84(1.54,8.16)	2.48(-1.05,6.03)	4.47(0.74,8.09)	4.37(-0.42,9.11)
Air	5	0.0	6.63(3.14,10.21)	8.59(4.82,12.41)	9.06(4.84,13.09)	9.35(3.21,15.54)
Air	10	0.0	6.92(3.69,10.31)	9.86(6.20,13.49)	8.91(4.85,12.87)	9.25(3.09,15.14)
Air	15	0.0	4.03(0.80,7.33)	5.04(1.37,8.53)	7.44(3.48,11.33)	8.34(2.46,14.14)
Water	5	0.0	4.59(0.31,8.90)	1.40(-2.91,5.64)	4.79(0.61,8.89)	1.72(-2.57,6.06)
Water	10	0.0	3.87(-0.35,8.08)	0.13(-3.83,4.07)	3.39(-0.69,7.45)	1.15(-3.03,5.44)
Water	15	0.0	3.48(-0.59,7.83)	0.94(-3.16,5.09)	0.87(-3.21,4.91)	-1.98(-6.18,2.50)
Land	5	0.0	-3.07(-6.47,0.30)	1.83(-1.86,5.42)	1.99(-2.07,6.07)	0.99(-3.42,5.46)
Land	10	0.0	0.97(-2.27,4.13)	0.38(-3.13,3.81)	2.17(-1.67,5.82)	2.62(-1.54,6.78)
Land	15	0.0	0.08(-3.14,3.35)	0.35(-2.97,3.72)	1.85(-1.91,5.68)	3.38(-0.93,7.61)
Built	5	0.0	6.39(2.78,10.15)	6.77(3.02,10.46)	7.56(3.48,11.50)	8.07(4.05,12.14)
Built	10	0.0	1.90(-1.55,5.38)	6.20(2.77,9.71)	5.70(1.96,9.39)	8.45(4.42,12.35)
Built	15	0.0	5.92(2.39,9.51)	8.90(5.41,12.41)	6.93(3.24,10.54)	8.46(4.64,12.34)
Social	5	0.0	-0.82(-3.94,2.45)	-6.66(-10.18,-2.90)	-1.51(-5.41,2.40)	-0.35(-5.18,4.64)
Social	10	0.0	-2.11(-5.13,0.94)	-6.40(-9.89,-2.99)	-5.49(-9.33,-1.76)	-3.57(-8.52,1.36)
Social	15	0.0	-1.78(-4.58,1.15)	-5.61(-8.82,-2.22)	-5.74(-9.29,-1.87)	-4.82(-9.45,-0.27)
RUCC: Thinly populated
EQI	5	0.0	2.16(-2.31,6.65)	2.42(-2.78,7.45)	6.43(-0.11,12.78)	2.33(-6.57,11.40)
EQI	10	0.0	4.91(-0.07,9.83)	5.65(0.22,11.12)	5.77(-1.21,12.89)	1.56(-7.93,10.93)
EQI	15	0.0	3.40(-0.97,7.84)	3.55(-1.34,8.39)	4.77(-2.02,11.58)	1.36(-7.40,10.08)
Air	5	0.0	3.23(-1.69,8.05)	-0.51(-6.33,5.18)	2.99(-4.95,10.97)	-0.06(-10.36,10.31)
Air	10	0.0	6.67(1.58,11.88)	4.32(-2.00,10.42)	2.96(-5.36,11.24)	-0.00(-9.82,9.97)
Air	15	0.0	3.95(-0.91,8.72)	3.37(-2.66,9.15)	1.85(-5.94,9.76)	0.12(-10.02,10.59)
Water	5	0.0	3.96(-1.17,9.13)	0.78(-4.57,6.13)	0.91(-4.77,6.63)	1.29(-4.73,7.42)
Water	10	0.0	-0.29(-5.43,5.07)	-2.36(-8.04,3.48)	-1.53(-7.68,4.64)	-2.37(-8.81,4.17)
Water	15	0.0	-0.54(-5.75,4.56)	-0.45(-5.89,5.00)	0.20(-5.50,6.16)	1.22(-5.26,7.72)
Land	5	0.0	3.46(-1.60,8.66)	3.74(-1.74,9.00)	-1.08(-6.39,4.32)	1.65(-4.25,7.78)
Land	10	0.0	1.54(-3.82,6.96)	2.40(-3.06,8.17)	2.85(-3.00,8.71)	0.16(-6.05,6.37)
Land	15	0.0	2.19(-2.62,7.00)	1.84(-3.48,6.96)	0.74(-4.91,6.23)	3.38(-2.50,9.20)
Built	5	0.0	2.23(-2.55,6.78)	1.76(-3.32,6.97)	1.26(-5.18,7.26)	3.62(-2.66,9.85)
