ICD_Code,Disease,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,MRD_mean,MRD_lower,MRD_upper
C91_C95,Leukemia,2000_2005,2006_2010,5,Q2,1.6,1.49,1.72,2.31,1.99,2.63
C91_C95,Leukemia,2000_2005,2006_2010,5,Q3,1.74,1.61,1.86,2.86,2.52,3.18
C91_C95,Leukemia,2000_2005,2006_2010,5,Q4,1.86,1.73,2.01,3.34,3.02,3.66
C91_C95,Leukemia,2000_2005,2006_2010,5,Q5,2.0,1.85,2.16,3.88,3.53,4.21
C91_C95,Leukemia,2000_2005,2011_2015,10,Q2,1.57,1.46,1.69,2.11,1.81,2.42
C91_C95,Leukemia,2000_2005,2011_2015,10,Q3,1.74,1.62,1.87,2.74,2.43,3.04
C91_C95,Leukemia,2000_2005,2011_2015,10,Q4,1.88,1.74,2.03,3.23,2.93,3.54
C91_C95,Leukemia,2000_2005,2011_2015,10,Q5,1.96,1.82,2.12,3.55,3.22,3.88
C91_C95,Leukemia,2000_2005,2016_2020,15,Q2,1.57,1.46,1.69,1.89,1.6,2.19
C91_C95,Leukemia,2000_2005,2016_2020,15,Q3,1.8,1.67,1.94,2.66,2.37,2.94
C91_C95,Leukemia,2000_2005,2016_2020,15,Q4,1.95,1.81,2.1,3.16,2.88,3.45
C91_C95,Leukemia,2000_2005,2016_2020,15,Q5,1.97,1.83,2.13,3.25,2.95,3.55
