Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR
Dementia,"65,242 (0.67‰)",55.12 ± 0.22,"83,600 (0.83‰)",64.37 ± 0.22,"94,095 (0.92‰)",67.95 ± 0.22
AD,"28,354 (0.29‰)",24.07 ± 0.14,"31,630 (0.32‰)",24.51 ± 0.14,"41,040 (0.40‰)",29.73 ± 0.15
PD,"8,095 (0.08‰)",7.21 ± 0.08,"9,632 (0.10‰)",7.91 ± 0.08,"12,337 (0.12‰)",9.28 ± 0.08
VD,"3,166 (0.03‰)",2.69 ± 0.05,"4,275 (0.04‰)",3.31 ± 0.05,"7,541 (0.07‰)",5.45 ± 0.06
ALS,"2,745 (0.03‰)",2.50 ± 0.05,"3,046 (0.03‰)",2.51 ± 0.05,"2,812 (0.03‰)",2.07 ± 0.04
HD,410 (0.00‰),0.38 ± 0.02,412 (0.00‰),0.34 ± 0.02,456 (0.00‰),0.36 ± 0.02
DOE Climate Zone: Very Cold,,,,,,
NDD,"9,955 (0.75‰)",65.55 ± 0.66,"11,793 (0.86‰)",71.82 ± 0.67,"13,313 (0.96‰)",74.84 ± 0.65
Dementia,"8,634 (0.65‰)",56.60 ± 0.61,"10,255 (0.75‰)",62.23 ± 0.62,"11,464 (0.83‰)",64.38 ± 0.60
AD,"4,247 (0.32‰)",27.87 ± 0.43,"4,311 (0.32‰)",26.23 ± 0.40,"5,656 (0.41‰)",31.78 ± 0.42
PD,971 (0.07‰),6.62 ± 0.21,"1,147 (0.08‰)",7.25 ± 0.22,"1,427 (0.10‰)",8.18 ± 0.22
VD,467 (0.04‰),3.09 ± 0.14,569 (0.04‰),3.50 ± 0.15,920 (0.07‰),5.19 ± 0.17
ALS,350 (0.03‰),2.33 ± 0.13,391 (0.03‰),2.33 ± 0.12,422 (0.03‰),2.28 ± 0.11
HD,49 (0.00‰),0.33 ± 0.05,57 (0.00‰),0.37 ± 0.05,47 (0.00‰),0.28 ± 0.04
County Economic Typology: Farming,,,,,,
NDD,"14,283 (0.69‰)",53.86 ± 0.45,"17,894 (0.85‰)",63.80 ± 0.48,"20,074 (0.94‰)",67.65 ± 0.48
Dementia,"12,353 (0.59‰)",46.24 ± 0.42,"15,769 (0.74‰)",55.86 ± 0.45,"17,453 (0.82‰)",58.46 ± 0.44
AD,"6,694 (0.32‰)",25.10 ± 0.31,"7,477 (0.35‰)",26.59 ± 0.31,"9,928 (0.47‰)",33.33 ± 0.34
PD,"1,507 (0.07‰)",5.89 ± 0.15,"1,689 (0.08‰)",6.27 ± 0.15,"2,200 (0.10‰)",7.66 ± 0.16
VD,535 (0.03‰),2.01 ± 0.09,674 (0.03‰),2.39 ± 0.09,950 (0.04‰),3.18 ± 0.10
ALS,423 (0.02‰),1.73 ± 0.08,436 (0.02‰),1.67 ± 0.08,421 (0.02‰),1.53 ± 0.08
HD,68 (0.00‰),0.28 ± 0.03,80 (0.00‰),0.33 ± 0.04,87 (0.00‰),0.33 ± 0.04
County Economic Typology: Mining,,,,,,
NDD,"9,581 (0.66‰)",64.78 ± 0.66,"12,328 (0.83‰)",76.41 ± 0.69,"13,751 (0.93‰)",77.70 ± 0.67
Dementia,"8,380 (0.57‰)",56.91 ± 0.62,"10,900 (0.73‰)",67.73 ± 0.65,"11,980 (0.81‰)",67.86 ± 0.62
AD,"4,247 (0.29‰)",28.84 ± 0.44,"4,964 (0.33‰)",30.92 ± 0.44,"6,854 (0.46‰)",38.86 ± 0.47
PD,925 (0.06‰),6.18 ± 0.20,"1,089 (0.07‰)",6.75 ± 0.21,"1,464 (0.10‰)",8.25 ± 0.22
VD,377 (0.03‰),2.56 ± 0.13,490 (0.03‰),3.04 ± 0.14,575 (0.04‰),3.25 ± 0.14
ALS,276 (0.02‰),1.70 ± 0.10,339 (0.02‰),1.93 ± 0.11,307 (0.02‰),1.59 ± 0.09
HD,47 (0.00‰),0.30 ± 0.04,41 (0.00‰),0.24 ± 0.04,60 (0.00‰),0.33 ± 0.04
County Economic Typology: Manufacturing,,,,,,
NDD,"218,719 (0.74‰)",66.15 ± 0.14,"286,036 (0.96‰)",78.43 ± 0.15,"320,662 (1.05‰)",80.78 ± 0.14
