Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Stratum_Label,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C61,Prostate Cancer,Cluster_k3,2,High EQI,89665,1008867606,8.9689,0.0301,8.9103,9.0278,8.97 ± 0.03
2006-2010,C61,Prostate Cancer,Cluster_k3,National,National,142530,1518958033,9.0287,0.024,8.9818,9.0756,9.03 ± 0.02
2006-2010,C61,Prostate Cancer,Cluster_k4,0,Very Low EQI,5176,51121576,9.1818,0.128,8.9334,9.4354,9.18 ± 0.13
2006-2010,C61,Prostate Cancer,Cluster_k4,1,Low EQI,13446,125026104,9.6382,0.0834,9.4759,9.8025,9.64 ± 0.08
2006-2010,C61,Prostate Cancer,Cluster_k4,2,Medium EQI,40907,398153791,9.0318,0.0448,8.9445,9.1197,9.03 ± 0.04
2006-2010,C61,Prostate Cancer,Cluster_k4,3,High EQI,83001,944656562,8.9291,0.0311,8.8685,8.9901,8.93 ± 0.03
2006-2010,C61,Prostate Cancer,Cluster_k4,National,National,142530,1518958033,9.0287,0.024,8.9818,9.0756,9.03 ± 0.02
2006-2010,C61,Prostate Cancer,Cluster_k5,0,Very Low EQI,2499,29434252,8.2622,0.1657,7.9414,8.5927,8.26 ± 0.17
2006-2010,C61,Prostate Cancer,Cluster_k5,1,Low EQI,2483,20495378,10.0547,0.2024,9.6631,10.4581,10.05 ± 0.20
2006-2010,C61,Prostate Cancer,Cluster_k5,2,Medium EQI,40613,393303442,9.0869,0.0452,8.9988,9.1757,9.09 ± 0.05
2006-2010,C61,Prostate Cancer,Cluster_k5,3,High EQI,15691,148681280,9.6011,0.0769,9.4515,9.7525,9.60 ± 0.08
2006-2010,C61,Prostate Cancer,Cluster_k5,4,Very High EQI,81244,927043681,8.899,0.0314,8.838,8.9605,8.90 ± 0.03
2006-2010,C61,Prostate Cancer,Cluster_k5,National,National,142530,1518958033,9.0287,0.024,8.9818,9.0756,9.03 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k3,0,Low EQI,4192,81106909,4.456,0.0694,4.3222,4.593,4.46 ± 0.07
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k3,1,Medium EQI,18855,428983518,3.8728,0.0283,3.8177,3.9284,3.87 ± 0.03
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k3,2,High EQI,40987,1008867606,3.9771,0.0198,3.9387,4.0158,3.98 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k3,National,National,64034,1518958033,3.9703,0.0158,3.9396,4.0012,3.97 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k4,0,Very Low EQI,2159,51121576,3.713,0.0804,3.558,3.873,3.71 ± 0.08
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k4,1,Low EQI,6481,125026104,4.5259,0.0566,4.4164,4.6374,4.53 ± 0.06
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k4,2,Medium EQI,17628,398153791,3.9024,0.0295,3.845,3.9604,3.90 ± 0.03
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k4,3,High EQI,37766,944656562,3.9409,0.0204,3.9013,3.9809,3.94 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k4,National,National,64034,1518958033,3.9703,0.0158,3.9396,4.0012,3.97 ± 0.02
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k5,0,Very Low EQI,970,29434252,3.1314,0.101,2.9374,3.3349,3.13 ± 0.10
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k5,1,Low EQI,1055,20495378,4.1785,0.1297,3.9302,4.4385,4.18 ± 0.13
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k5,2,Medium EQI,17520,393303442,3.9249,0.0298,3.867,3.9835,3.92 ± 0.03
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k5,3,High EQI,7678,148681280,4.5685,0.0525,4.4669,4.6719,4.57 ± 0.05
2006-2010,C64_C65,Kidney and Renal Pelvis Cancer,Cluster_k5,4,Very High EQI,36811,927043681,3.9145,0.0206,3.8746,3.9547,3.91 ± 0.02
