ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_A_Land","1.77(-1.41,4.87)","-1.40(-4.12,1.41)","-0.04(-2.54,2.48)","-1.10(-2.05,-0.13)*","0.2718","0.3139","1.0002","1.0005",4290,4060,3716,3710,1.0014,1010
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_A_Built","3.35(-0.59,7.13)","0.14(-2.98,3.18)","-0.82(-3.86,2.37)","-1.05(-1.97,-0.12)*","0.0894","0.9163","1.0010","1.0002",4139,3500,3648,3122,1.001,1010
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_A_Social","-0.77(-6.16,4.63)","1.03(-2.38,4.62)","-0.93(-4.49,2.51)","-1.06(-2.02,-0.09)*","0.7846","0.5713","1.0000","1.0011",6551,4634,3650,3866,1.0011,1010
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_B_EQI","0.02(-2.50,2.49)","0.48(-2.20,3.16)","0.26(-2.55,3.16)","-0.44(-1.30,0.44)","0.9979","0.7342","1.0005","1.0009",3944,4338,3900,3758,1.0025,746
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_B_Air","-2.76(-5.08,-0.46)*","2.12(-0.81,4.99)","1.42(-1.38,4.12)","-0.45(-1.30,0.41)","0.0181","0.1527","1.0024","1.0005",4276,4694,3699,4081,1.0024,746
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_B_Water","-0.64(-4.44,3.16)","3.40(0.42,6.35)*","-0.01(-2.42,2.38)","-0.44(-1.28,0.42)","0.7480","0.0269","0.9998","1.0002",4009,4640,3829,3539,1.0019,746
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_B_Land","-0.56(-3.21,2.05)","0.02(-2.62,2.62)","0.56(-2.15,3.30)","-0.46(-1.34,0.42)","0.6684","0.9871","1.0018","1.0007",4841,4290,3791,3795,1.0018,746
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_B_Built","1.41(-1.18,4.08)","0.78(-2.09,3.66)","-0.67(-3.78,2.48)","-0.46(-1.33,0.42)","0.2789","0.6047","1.0005","1.0006",4784,5265,4039,4066,1.0023,746
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_B_Social","-1.01(-3.93,1.83)","1.80(-1.43,5.14)","0.29(-2.86,3.56)","-0.59(-1.47,0.29)","0.4901","0.2831","1.0011","1.0010",5702,5732,4077,3831,1.0011,746
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_C_EQI","-0.82(-2.24,0.59)","1.07(-0.74,2.92)","2.33(0.04,4.58)*","0.38(-0.26,1.02)","0.2577","0.2689","1.0019","1.0006",5035,6425,3494,4115,1.0023,1380
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_C_Air","-2.27(-3.71,-0.87)**","-0.13(-2.05,1.69)","3.02(0.89,5.19)**","0.26(-0.37,0.89)","0.0015","0.9079","1.0009","1.0006",5214,5789,3604,3912,1.0017,1380
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_C_Water","-1.01(-3.39,1.35)","0.13(-2.17,2.40)","2.11(0.06,4.11)*","0.38(-0.27,1.00)","0.3980","0.9021","1.0017","1.0009",5342,5284,3730,3739,1.0022,1380
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_C_Land","-2.46(-3.93,-1.00)***","-0.17(-1.87,1.52)","3.32(1.15,5.54)**","0.35(-0.26,0.98)","0.0010","0.8600","1.0004","1.0004",5351,6555,4124,3518,1.0009,1380
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_C_Built","-0.89(-2.82,1.02)","-1.26(-3.26,0.80)","2.83(0.30,5.36)*","0.35(-0.28,0.96)","0.3664","0.2272","1.0019","1.0015",3584,3901,3369,3289,1.0042,1380
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_C_Social","-2.43(-4.43,-0.42)*","0.62(-2.01,3.15)","3.42(0.75,6.02)*","0.13(-0.51,0.76)","0.0185","0.6347","1.0010","1.0002",3922,4434,3756,4247,1.0025,1380
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_A_EQI","-0.48(-2.24,1.32)","0.41(-1.36,2.21)","0.02(-2.05,2.15)","-0.50(-1.17,0.15)","0.5918","0.6426","1.0005","1.0016",4182,4337,3760,3944,1.0016,1593
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_A_Air","-3.16(-4.87,-1.44)***","-0.23(-2.18,1.70)","1.09(-0.84,3.01)","-0.65(-1.31,0.03)","0.0006","0.8113","1.0029","1.0022",3910,4257,3378,3688,1.0029,1593
"G20_G30_G12.2_F01_F03",10,"Cluster_NLCD_A_Water","1.07(-1.55,3.68)","1.07(-1.57,3.60)","-0.29(-2.04,1.58)","-0.50(-1.14,0.15)","0.4355","0.4076","1.0008","1.0016",4857,4710,3730,3588,1.0016,1593
