ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
"N00_N29_C64_C65",10,"Cluster_NLCD_B_Air","-0.25(-1.20,0.69)","0.10(-1.13,1.30)","1.68(0.59,2.78)**","0.24(-0.06,0.54)","0.5959","0.8709","1.0011","1.0008",4170,4642,3764,3953,1.0021,374
"N00_N29_C64_C65",10,"Cluster_NLCD_B_Water","-1.77(-3.41,-0.04)*","-0.94(-2.44,0.69)","1.99(0.95,3.00)***","0.31(0.02,0.59)*","0.0419","0.2427","0.9999","1.0001",3483,2946,3543,3560,1.0013,374
"N00_N29_C64_C65",10,"Cluster_NLCD_B_Land","0.24(-1.01,1.43)","0.27(-0.84,1.32)","1.41(0.26,2.56)*","0.24(-0.05,0.54)","0.6734","0.6359","1.0013","1.0004",4077,4076,3301,3726,1.0016,374
"N00_N29_C64_C65",10,"Cluster_NLCD_B_Built","0.04(-0.99,1.04)","-0.54(-1.72,0.67)","1.69(0.48,2.91)**","0.23(-0.06,0.52)","0.9433","0.3872","1.0005","1.0004",4889,4646,3753,3844,1.002,374
"N00_N29_C64_C65",10,"Cluster_NLCD_B_Social","1.19(-0.23,2.42)","1.99(0.56,3.38)**","0.41(-0.88,1.85)","0.27(-0.01,0.56)","0.0869","0.0081","1.0002","1.0006",4227,4321,3499,3400,1.0013,374
"N00_N29_C64_C65",10,"Cluster_NLCD_C_EQI","0.20(-0.84,1.24)","1.15(-0.33,2.56)","1.74(0.47,3.03)**","0.36(-0.09,0.82)","0.7021","0.1144","1.0012","1.0006",4287,4980,3545,3835,1.0027,1031
"N00_N29_C64_C65",10,"Cluster_NLCD_C_Air","-1.09(-2.06,-0.10)*","0.02(-1.62,1.61)","2.51(1.28,3.72)***","0.32(-0.11,0.78)","0.0260","0.9671","1.0003","1.0011",4392,4702,3542,3816,1.0015,1031
"N00_N29_C64_C65",10,"Cluster_NLCD_C_Water","-2.36(-4.03,-0.62)**","-0.79(-2.16,0.49)","2.08(0.89,3.28)***","0.25(-0.21,0.74)","0.0098","0.2472","0.9998","1.0005",5329,4788,3600,3112,1.0031,1031
"N00_N29_C64_C65",10,"Cluster_NLCD_C_Land","-0.35(-1.52,0.83)","0.68(-0.37,1.78)","1.76(0.44,3.13)*","0.32(-0.13,0.80)","0.5668","0.2164","1.0010","1.0001",6021,5718,3689,3749,1.0023,1031
"N00_N29_C64_C65",10,"Cluster_NLCD_C_Built","0.71(-0.61,1.97)","0.40(-0.92,1.70)","1.52(0.05,3.05)*","0.36(-0.09,0.82)","0.2714","0.5563","1.0012","1.0005",4900,4965,3682,3826,1.0012,1031
"N00_N29_C64_C65",10,"Cluster_NLCD_C_Social","-0.19(-1.75,1.34)","0.36(-1.55,2.24)","2.07(0.43,3.80)*","0.34(-0.13,0.82)","0.8159","0.7001","1.0012","1.0010",3764,3946,3949,4289,1.0018,1031
"N00_N29_C64_C65",10,"Cluster_NLCD_D_EQI","-0.51(-1.30,0.29)","-1.00(-2.79,0.80)","1.72(0.59,2.92)**","0.16(-0.21,0.55)","0.2106","0.2652","1.0001","1.0008",4520,6655,3189,3620,1.0016,136
"N00_N29_C64_C65",10,"Cluster_NLCD_D_Air","-0.00(-0.82,0.83)","4.57(0.12,11.75)*","1.21(0.00,2.39)*","0.11(-0.27,0.50)","0.9779","0.0414","1.0018","1.0001",4796,6047,3730,3192,1.0018,136
"N00_N29_C64_C65",10,"Cluster_NLCD_D_Water","0.08(-1.63,1.81)","0.12(-1.21,1.48)","1.37(0.42,2.37)**","0.16(-0.20,0.55)","0.9396","0.8759","0.9999","1.0002",8153,7460,3632,3690,1.0018,136
"N00_N29_C64_C65",10,"Cluster_NLCD_D_Land","-0.40(-1.34,0.55)","-1.17(-2.50,0.24)","1.85(0.53,3.10)**","0.17(-0.18,0.53)","0.4005","0.0952","1.0002","1.0002",3463,4302,3520,4090,1.0024,136
"N00_N29_C64_C65",10,"Cluster_NLCD_D_Built","-0.10(-1.26,1.10)","-0.28(-1.79,1.30)","1.42(0.12,2.67)*","0.13(-0.24,0.53)","0.8571","0.7292","1.0011","1.0002",2495,3064,3217,3941,1.0012,136
"N00_N29_C64_C65",10,"Cluster_NLCD_D_Social","0.53(-0.89,1.90)","4.20(0.28,8.67)*","0.71(-0.84,2.36)","0.10(-0.25,0.47)","0.4847","0.0319","1.0004","1.0007",3892,4730,3792,3863,1.0027,136
"N00_N29_C64_C65",15,"EQI","0.69(0.11,1.29)*","1.21(0.51,1.94)**","1.24(0.26,2.22)*","0.21(-0.01,0.44)","0.0194","0.0023","1.0007","1.0001",5770,6028,4034,3672,1.0026,3136
"N00_N29_C64_C65",15,"Air","0.54(-0.06,1.12)","0.19(-0.57,0.95)","1.52(0.45,2.56)**","0.24(0.00,0.46)*","0.0744","0.6280","1.0006","1.0002",4856,5692,3262,3833,1.0044,3136
"N00_N29_C64_C65",15,"Water","0.41(-0.54,1.38)","0.23(-0.64,1.13)","1.74(0.80,2.72)***","0.22(-0.01,0.45)","0.3960","0.5951","1.0021","1.0007",5336,5791,3770,3862,1.0071,3136
"N00_N29_C64_C65",15,"Land","-0.94(-1.57,-0.32)**","0.32(-0.43,1.05)","2.17(1.14,3.16)***","0.19(-0.03,0.42)","0.0044","0.3864","1.0008","1.0019",6246,5648,3863,3755,1.0035,3136
